------ Tile 0 Ready ------
Row 0: 37 237 46 
Row 1: 245 154 141 
Row 2: 251 141 194 
Row 3: 60 138 238 
Row 4: 3 129 107 
Row 5: 0 6 17 
Row 6: 69 28 177 
Row 7: 72 171 180 
Row 8: 0 204 25 
Row 9: 41 197 76 
Row 10: 47 73 197 
Row 11: 50 30 190 
Row 12: 10 75 161 
Row 13: 57 28 222 
Row 14: 76 79 127 
Row 15: 33 250 163 
Row 16: 16 84 143 
Row 17: 195 251 221 
Row 18: 254 82 57 
Row 19: 223 99 37 
Row 20: 161 55 162 
Row 21: 129 228 255 
Row 22: 157 17 209 
Row 23: 152 85 114 
Row 24: 189 239 126 
-------------------------

------ Tile 1 Ready ------
Row 0: 91 160 25 
Row 1: 68 225 231 
Row 2: 121 58 149 
Row 3: 149 23 129 
Row 4: 6 31 218 
Row 5: 45 154 24 
Row 6: 76 76 78 
Row 7: 229 33 35 
Row 8: 190 45 202 
Row 9: 11 221 174 
Row 10: 28 233 60 
Row 11: 122 62 36 
Row 12: 25 95 52 
Row 13: 89 78 28 
Row 14: 147 186 179 
Row 15: 114 248 34 
Row 16: 39 91 40 
Row 17: 216 29 82 
Row 18: 45 208 63 
Row 19: 88 180 22 
Row 20: 96 67 190 
Row 21: 195 94 59 
Row 22: 123 10 248 
Row 23: 127 194 40 
Row 24: 33 129 255 
-------------------------

